Tweet_clean,HS,Abusive,HS_Weak,HS_Moderate,HS_Strong,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
ari beki rapi monyet xf xf xf xf,0,1,0,0,0,0,0,0,0,0,0,0
cowok gantle gantle namanya banci,1,1,0,1,0,0,1,0,0,0,1,0
pengguna alga mnr bom xf xf,0,0,0,0,0,0,0,0,0,0,0,0
anjing ya gue jarang mengambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
pengguna noob peluang disakiti gede sih,0,0,0,0,0,0,0,0,0,0,0,0
pengguna joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
pelajar kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,0,0,0,0,0,0,0,0,0,0,0,0
gubernur presidennya rakyatnya ya kitaâ²,0,0,0,0,0,0,0,0,0,0,0,0
sih pengguna kerjaannya delay mulu setan,1,1,0,1,0,0,1,0,0,0,0,1
menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna partai komunis indonesia muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,1,0,0,1,0,0,1,0,1,0,0,0
pengguna pengguna nenek nenek heran cebong bohong,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil dipasarkan gencar antek xc xb jil jil anti arab pro asing almarhum kh hasyim muzadi,1,0,0,1,0,0,1,1,0,0,0,0
habis sahur jam si bayi nete lemas xf xf xa xa,0,0,0,0,0,0,0,0,0,0,0,0
pengguna kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
pengguna kelakuan homo jaman now ngentot live blued uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kak gue orang jawa maaf ya gue orang palembang kakak deh belajar aksara jawa kelak belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training kayak mentang gue kayak gembel kaos flat shoes dijutekin bangsat malas belinya kabur gue matahari,1,1,0,1,0,0,1,0,0,0,0,1
xe xdpara bajingan melukai lady menerima ganjaran seratus kali lipat xe xd sanji,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna presiden ri jokowi kerja tulus ikhlas,0,0,0,0,0,0,0,0,0,0,0,0
edan tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
mendalami al alquran ya bang mulutnya kayak orang kafir bejat hina farhat abbas law,1,1,1,0,0,1,0,1,0,1,0,0
beda kewibawaannya berwibawa gubernur indonesia pengguna masya allah,0,0,0,0,0,0,0,0,0,0,0,0
anjir kali lihat orang bego debat pilihan kepala daerah kerjanya menyerang karakter kecewa on empok silvy and agus,1,1,0,1,0,0,1,0,0,0,0,1
pengguna keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan peserta rapat kerja cabang khusus,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna iya islam lokalisasi kristen mas nusantaranya mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi keamanan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor nurl,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna sembahyang mengadopsi tradisi lokal pekerjaan hindu istilah xc xasembahyang xc xapun lahir tradisi ritus xc xamenyembahhyang tunggal xc xashalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
pendidikan bodoh larang bawa agama biar orang islam bayar ahok sadar memilih ahok gila,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna ahok the best abaikan kaum kampret otak micin,1,1,0,1,0,0,1,0,0,0,0,1
pengguna pengguna sih otak tempurung meladeni lawan dungu makan hehe,1,1,1,0,0,1,0,0,0,0,0,1
pengguna awaasss beritanya saudara gerung susah mencari kosakatanya bocor memicing mata bibir monyong kesamping suara ky nhn kentut politik kotor zaman brt pulang ky nhn ngeden dungu xf xf xb,1,1,1,0,0,1,0,0,0,1,0,0
pinokio umur tahunan,1,0,1,0,0,1,0,0,0,0,0,1
pengguna cerita silat lae xf xf kho merah muda oh indonesia liang ie shen penulis cina,0,0,0,0,0,0,0,0,0,0,0,0
pengguna benci umat islam,1,0,0,1,0,0,1,1,0,0,0,0
pengguna pengguna pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota cebong mendeskripsikan kekalahan junjungannya for your information ahok pemilihan apapun kecamatan wakil etnis mayoritas,1,1,1,0,0,1,0,0,1,0,0,0
pengguna gue nete,0,1,0,0,0,0,0,0,0,0,0,0
pengguna wkwk bani lowo,1,1,0,1,0,0,1,0,0,0,0,1
takabur lahir penguasa rakyat ulama cendikia iblis makhluk alim amp beribadah beratus dilaknat hasud takaburnya ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0
orang suka konser konser boros,0,0,0,0,0,0,0,0,0,0,0,0
makan racun ulama hukum rokok mubah jugaâ,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus,0,0,0,0,0,0,0,0,0,0,0,0
pengguna kali gue penggemar korea pop mengomong teman gue idol gue banci homo,1,1,1,0,0,1,0,0,0,0,1,0
suka video pengguna uniform resource locator kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya kafir bersungguh islam diindahkan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna xf xf xe xb hem hem xf xf xe xa diam bisu coba rumput bergoyang xe xab xe xab xe xab xe xaa xe xaa xe xaa,0,0,0,0,0,0,0,0,0,0,0,0
setan membisikkan was was kepadamu mintalah perlindungan allah qs al xe xraf fussilat,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna ateis sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi bangsat,1,1,0,0,1,1,0,0,0,0,0,1
pengguna selamat kartini,0,0,0,0,0,0,0,0,0,0,0,0
pengguna bajingan homo nhati anak kamar mandi laki biarkan uniform resource locator,1,1,1,0,0,1,0,0,0,0,1,0
pengguna iya cocot,1,1,1,0,0,1,0,0,0,0,0,1
pengguna budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
pengguna mengajarkan salat orang asing memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
pengguna berbicara bangkai,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna memercayai negara dijajah ranah kespembubaran sistem beraja negara menjadikan negara republik komunis negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
menikmati kebijakan diusulkan partai komunis indonesia iya,1,0,0,1,0,0,1,0,1,0,0,0
seumpama orang cina usir paksa indonesia,1,0,0,1,0,0,1,0,1,0,0,0
pengguna bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
pengguna cina babi cina maling URL,1,1,0,0,1,0,1,0,1,0,0,0
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,1,0,0,0,0,0,1
pengguna wajar lihat tingkah petinggi negeri suka mencampur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi senang berkompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna kitab suci agama bilang om pengguna,1,0,1,0,0,1,0,0,0,0,0,1
pengguna suka menutup mata ditutup tertutup gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
pengguna muslim pengguna menistakan kitab suci alquran an alquran an suku detik makna faktualnya umat islam makna tersirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
pengguna eh kasar kampang,1,1,1,0,0,1,0,0,0,0,0,1
bentar gue rilis album the onta si wkwk,0,0,0,0,0,0,0,0,0,0,0,0
pengguna cebong bang,1,1,1,0,0,1,0,0,0,0,0,1
najis banget gue mentwit barusan he,0,1,0,0,0,0,0,0,0,0,0,0
transgender anjing uniform resource locator,1,1,1,0,0,1,0,0,0,0,1,0
pengguna awas bintitan mengintip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna bawel bawa perasaan bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna gue menyarankan bacot maling ayat langsung to the point orang sepaham teriaki kafir sesat liberal pemuja dukun bla blaaa hatimu puas deh,1,1,1,0,0,1,0,1,0,0,0,0
salah target ahok agenda utama lengserkan jokowi,1,0,0,0,1,1,0,0,0,0,0,1
pengguna pengguna kena tagar kepanasan banget,1,0,1,0,0,1,0,0,0,0,0,1
maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna huria kristen batak protestan berdiri pecahnya kristen katolik zaman penjajahan belanda namanya kristen protestan kristen katolik perpecahan berdirilah huria kristen batak protestan kali tarutung,0,0,0,0,0,0,0,0,0,0,0,0
baca biar pintar jepang amerika cina utang tau,0,0,0,0,0,0,0,0,0,0,0,0
prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,1,0,1,0,0,1,0,0,0,0,0,1
pengguna pengguna takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna goblok bani cebong tukang tipu penjilat penguasa ketahuan gerakan dibayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,1,0,0,0,0,1
pengguna pengguna pengguna pengguna cebong sewot xf xf xf xf xf xf,1,1,1,0,0,1,0,0,0,0,0,1
gerakan menekankan kerja keras total tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
gubernur djarot mayoritas partai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah ya pengguna uniform resource locator,1,0,1,0,0,1,0,0,0,0,0,1
pengguna rezim rusak memperbaiki sistemnya sibuk cari kesalahan ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
orang orang menuding antek asing asing sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna anti asing,0,0,0,0,0,0,0,0,0,0,0,0
selamat pengguna semoga berkiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
sih ulama,0,0,0,0,0,0,0,0,0,0,0,0
pengguna ketahui diketapang tenaga kerja asing asing perusahaan pt who tambang bauksit viral pemilihan presiden kerja era gubernur cornelis wakilnya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna anak pecun hobi zina haha,1,1,1,0,0,1,0,0,0,0,1,0
pengguna bom surat berharga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
pengguna istirahat presiden momentum saksi telinga mata rapat pembentukan pacitan,0,0,0,0,0,0,0,0,0,0,0,0
house select committee on assassination hsca menemukan cacat investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna genap april digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
pengguna ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna mengakuinya orang pintar beragama memangnya agama memperbolehkan menista menghujat orang orang bodoh orang maaf lahir idiot hargai ciptaan tuhan iblis pintar licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran calon presiden dibuka agustus normatif politikus partai demokrasi indonesia perjuangan paham,1,0,0,1,0,0,1,0,0,0,0,1
sih tolol tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,1,1,0,0,1,0,0,1,0,0,0
gue mantan mantan gue sedih kepikiran tidur lo gue anak berengsek laki,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir setuju,1,0,0,0,1,0,1,0,1,0,0,0
konstitusional hak rakyat woiii nih plonga plongo kelakuan otoriter,1,1,1,0,0,1,0,0,0,0,0,1
mari wujudkan pilihan kepala daerah kota bengkulu aman damai coki adem heruâ,0,0,0,0,0,0,0,0,0,0,0,0
serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowok jago drasex ngentot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kroasia kafir tau belajar kafir lupa kapling sorga,1,1,0,1,0,0,1,1,0,0,0,0
pengguna pengguna menteri soeharto homo,1,1,1,0,0,1,0,0,0,0,1,0
gue tau culun takut orang berubah perlahan buruk,0,0,0,0,0,0,0,0,0,0,0,0
perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setoran bangsat rupiah turun xf xf xa,1,1,1,0,0,1,0,0,0,0,0,1
semoga tindak pelaporan penista agama adek armando langsung ketua front pembela islam kh shobri lubis badan reserse kriminal markas kepolisian republik indonesia gambir jakarta pusat selasa indonesia barat pengguna,1,0,1,0,0,1,0,1,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna bangkai hajar,1,1,0,0,1,1,0,0,0,0,0,1
pengguna pengguna pengguna onta mati kebanyakan minum,1,0,0,1,0,0,1,0,0,0,0,1
uniform resource locator ahok tng was was hidupnya pengguna pengguna pengguna pengguna pengguna pengguna pengguna,1,0,1,0,0,1,0,0,0,0,0,1
sul teng ekses akibat tersandera hutang cina,1,0,1,0,0,1,0,0,0,0,0,1
pride yunani xe xbd xcf xce xb xcf xce xb xcf xce xb xce xbd xce xaf xce xb hyper xc xphania keangkuhan harga kesombongan dikenal sebutan hubris vanity harga mengubah manusia sombong kesombongan manusia terkutuk dimata tuhan manusia mencintai,0,0,0,0,0,0,0,0,0,0,0,0
tujuan hati logikaku hati tenang logika hatiku sedih ku cari wasiat beliau tinggalkan terasing asing mata manusia duhai,0,0,0,0,0,0,0,0,0,0,0,0
pengguna bertaji komisi pemberantasan korupsi era era komitmen pemberantasan korupsi surat pemberitahuan tahunan era susilo bambang yudhoyono,1,0,0,1,0,0,1,0,0,0,0,1
pengguna admin tolol partai tolol partai tolol orang tolol,1,1,0,1,0,0,1,0,0,0,0,1
pengguna ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
video tenaga kerja asing malaysia mengutip pernyataan pengguna,0,0,0,0,0,0,0,0,0,0,0,0
ppp buru buru tolak wacana pilihan kepala daerah lewatâ dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
random pagi menyamper meja kerja pakai bedak sih biar mukanya bersih istri butek ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna gue kampret,0,1,0,0,0,0,0,0,0,0,0,0
memek lonte disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi mundur pengguna tutup uniform resource locator,1,0,1,0,0,1,0,0,0,0,0,1
pengguna berbicara mulut banci beli kaca lihat dirimu bro,1,1,1,0,0,1,0,0,0,0,1,0
pengguna amin racist nada dani nada ratna sih paiiit nada sih onta nada sih lobang anus takut oi oi kehabisan obat penenang ya,1,1,1,0,0,1,0,0,0,0,0,1
pengguna tunggu komando imam bejat cabul pengguna tai bir xf xf xd xba bawa ulama dasar banj sempak,1,1,1,0,0,1,0,0,0,0,1,0
kabinet berantakan pemecah belah persatuan rezim,1,0,0,1,0,0,1,0,0,0,0,1
ih mengakui pintar orang politik mengaca oi tampang xc xak orang bego pengguna wkwk,1,1,1,0,0,1,0,0,0,1,0,0
menekan perusahaan tambang target proyek impossible dilelang murah antek cina ntb contoh partai demokrasi indonesia perjuangan menang dasar bajingan,1,1,0,1,0,0,1,0,0,0,0,1
pengguna pengguna percaya mulut buaya mu bawang,1,1,1,0,0,1,0,0,0,0,0,1
susilo bambang yudhoyono prabowo menyatu melawan mega jokowi peristiwa terulang dimana partai demokrasi indonesia perjuangan incumbent dikalahkan mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono melawan prabowo mk pemilihan presiden selesai poros pemilihan presiden mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna kayak banci kaleng gatot gaduh gentleman mundur bersaing pemilihan presiden melawan jokowi,1,1,1,0,0,1,0,0,0,0,1,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
indonesia negara populasi muslim terbesar dunia islam musuh barat amp komunis menghambat agenda kepentingan obviously,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna umuh persib persib kunyuk xf xf xf xf xf xf,1,1,0,1,0,0,1,0,0,0,0,1
pengguna pengguna film muslim pilih ahok mati disalatkan dijamin laris,1,0,1,0,0,1,0,0,0,0,0,1
banu banu yahudi beda banu banu kristen suriah salah perbedaan banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
pengguna eh muka merah cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo anies sandi media menumpahkan sakit hati katak cebong ehe,1,1,0,1,0,0,1,0,0,0,0,1
giat bhayangkara pembina keamanan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing rabu april melaksanakan sambang desa tatap muka memantau keamanan ketertiban masyarakat pilihan kepala daerah desa lobusiregar tepatnya rumah rudi panjaitan helman siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
sayang banget ya perempuan kayak status menempel laki laki aduh nagita slavina blak blak ayu ting ting kampungan xe viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna lupa kang umat katolik minoritas diperhatikan gubernur golongan golongan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna cebong dibilangi kemarin mengeyel situ memaksa cebong,1,1,1,0,0,1,0,0,0,0,0,1
pengguna kelemahan gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,1,0,0,0,0,0,1
selamat kartini kali dirayakan maknanya kali,0,0,0,0,0,0,0,0,0,0,0,0
foto bisu memiliki arti susah diartikan susah diartikan putus,0,0,0,0,0,0,0,0,0,0,0,0
pengguna wkwk mengalaminya xf xf xf xf xf xf xf xf muncul grub wa bani abdi hadi mbahku mek kenal orang xf xf xa xa xf xf xa xa xf xf xa,0,0,0,0,0,0,0,0,0,0,0,0
ayah pres badar nuqaba boekkkð nih hebat bidang agama takut natural killer tegur member lawak hambar lawak orang jom gerak gerakan badan chubby,0,0,0,0,0,0,0,0,0,0,0,0
anak pekan mengilhamkan dasar ekonomi deb penggerak utama kemajuan ekonomi bandar beliau allah ya rahman tun abdul razak ds pengguna,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna haha sialaaan nih sih pengguna lapar presiden disikat doið,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna menasihati kali ugalan nih rezim eh negeri keburu hancur ekonomi moral menikah kacaoooooo,1,0,1,0,0,1,0,0,0,0,0,1
pengguna alah silit kebelet dikasihani orang sayang media sosial gue sadar instansi kemarin gue ceritakan duuuhhh xf xf xa xa xf xf xa xa xf xf,0,1,0,0,0,0,0,0,0,0,0,0
pengguna iya cacat,0,0,0,0,0,0,0,0,0,0,0,0
pengguna rakyat makan aspal beton solusi jitu mengurangi kemiskinan keahlian cebong tukang tipu cebong goblok ketulungan plonga plongo mengakibatkan optimisme,1,1,0,1,0,0,1,0,0,0,0,1
pengguna baca harun yahya membelot kubu yahudi freemason kadang suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
maju ulama bergerak tokoh agama indonesia,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna,0,0,0,0,0,0,0,0,0,0,0,0
mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0
pengguna kemarin hujat mengharap dasar bani kampret,1,1,0,1,0,0,1,0,0,0,0,1
pengguna penjelasan fitnah silakan dibantah pengguna apollinaris darmawan al alquran kitab sampah,1,1,0,1,0,0,1,1,0,0,0,0
monyet koloe dibilang saudara ogah hidupmu ya hati comberan pengguna,1,1,1,0,0,1,0,0,0,0,0,1
body lufra scrub bahan dasar lidah buaya melembabkan kulit amp bercahaya info,0,0,0,0,0,0,0,0,0,0,0,0
pengguna cacat bermasa,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna penganut bumi datar xf xf xd teori bumi bulat orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai disita tenda bertuliskan partai keadilan sejahtera meradang bukti pemerintah panik takut,1,0,0,1,0,0,1,0,0,0,0,1
jokowi mundur,1,0,1,0,0,1,0,0,0,0,0,1
musyawarah nasional alim ulama ppp semarang menghasilkan rekomendasi syarat kriteria kriteria calon wakil presiden mendampingi jokowi,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pencerahan gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna kafan berasal budaya yahudi umat islam mengklaim,0,0,0,0,0,0,0,0,0,0,0,0
rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0,0,1,0,0,1,1,1,0,0,0
pengguna pengguna tanda pilihan kepala daerah pemilihan presiden,0,0,0,0,0,0,0,0,0,0,0,0
misi membangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0,0,0,0,0,0,0,0,0,0,0,0
ketabahan pasangan taufik puan nurliyana wajar dicontohi jom sumbangan meringankan beban pasangan come on twitter do your berpikir badan standarisasi nasional bank islam nurliyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
pengguna sih tai doang belaganya selangit karma idol flop gue tertawa keras,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna celeng kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0
budaya yuk mengunjungi purwokerto mumpung even rakyat,0,0,0,0,0,0,0,0,0,0,0,0
presiden dana taktis kepentingan rakyatnya program pemerintah program pembangunan infrastruktur kip kartu indonesia sehat sertifikat tanah perhutanan sosial bahan bakar minyak harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna amin ya allah timnya kinan pelatihan ular rawa rawa dapatnya sungai gede musuhnya buaya wkwk,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna maju memaki mama bolot,1,1,1,0,0,1,0,0,0,0,0,1
gerombolan kadal jidat gosong sukanya ribut gerombolannya salah pura budek dasar gerombolan cingkrang uniform resource locator,1,1,0,1,0,0,1,0,0,1,0,0
pengguna pengguna pengguna gentarnya takut kafir xf xf,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna saracen akun kritis dianggap saracen aneh jokowi,1,0,1,0,0,1,0,0,0,0,0,1
pengguna bego teman gue najis kesal gue,1,1,1,0,0,1,0,0,0,0,0,1
pengguna pengguna kafir kristen ulah,1,1,0,1,0,0,1,1,0,0,0,0
pengguna tau bau baunya keciri sipit buluk,1,1,1,0,0,1,0,0,1,0,0,0
pengguna kayak memegang mucikari,0,0,0,0,0,0,0,0,0,0,0,0
guru tk darma wanita persatuan desa plumbon porong deklarasi anti hoaks ujaran kebencian isu sarah mendukung pilihan kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
pengguna anjir seram mainnya begituan xf xf xf xf xc,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kayaknya bank bilang jual uang asing tukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna onta yaman nih setahun gue deportasi,1,1,0,0,1,1,0,0,0,0,0,1
hati hati berita pilihan kepala daerah berbau hoaks kunjungi,0,0,0,0,0,0,0,0,0,0,0,0
pengguna anak cocot ya pengguna,1,1,1,0,0,1,0,0,0,0,0,1
pengguna xf xf xf xf xf xf xf xf xf xf xf xf xf xf xudah ketahuan hoaks ya fahri ambil berita tuyg pembaruan tong sampah diambil screenshoot taunya berita,1,0,1,0,0,1,0,0,0,0,0,1
mantap direct message barisan serba bang pengguna,0,0,0,0,0,0,0,0,0,0,0,0
lebah suka bunga makan bangkai gue penasaran madu kayak xf xf xa,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna indonesia mundur bentuk,1,0,1,0,0,1,0,0,0,0,0,1
pengguna pengguna pengguna pengguna dongok bilang hacker haha,0,1,0,0,0,0,0,0,0,0,0,0
